date,visits,sessions,signups,bounce_rate,avg_session_minutes
2025-02-21,1016.0,1303,26,39.2,6.7
2025-02-22,809.0,1046,18,39.9,7.9
2025-02-23,791.0,957,30,47.3,4.4
2025-02-24,919.0,1161,20,35.7,4.4
2025-02-25,997.0,1217,36,56.3,7.1
2025-02-26,1045.0,1309,34,31.4,2.8
2025-02-27,1097.0,1392,29,52.8,9.2
2025-02-28,1074.0,1314,27,30.5,4.3
2025-03-01,872.0,1016,17,37.6,7.1
2025-03-02,859.0,1072,33,29.6,4.7
2025-03-03,967.0,1135,41,33.1,6.4
2025-03-04,1068.0,1364,46,41.7,6.3
2025-03-05,1054.0,1364,44,48.5,4.2
2025-03-06,1086.0,1404,42,36.8,8.8
2025-03-07,1102.0,1317,29,33.3,2.9
2025-03-08,876.0,1017,18,44.3,9.4
2025-03-09,842.0,1074,36,31.4,8.9
2025-03-10,948.0,1101,37,31.4,7.4
2025-03-11,1027.0,1257,25,32.6,7.4
2025-03-12,1120.0,1339,46,28.6,3.4
2025-03-13,1169.0,1461,23,61.0,6.1
2025-03-14,1114.0,1295,24,32.5,6.2
2025-03-15,941.0,1124,22,44.5,7.4
2025-03-16,918.0,1139,40,44.2,6.1
2025-03-17,979.0,1169,30,48.6,4.2
2025-03-18,1106.0,1285,47,45.0,6.8
2025-03-19,1105.0,1434,25,47.6,4.5
2025-03-20,1139.0,1335,32,57.8,3.0
2025-03-21,1091.0,1405,27,29.7,6.7
2025-03-22,930.0,1161,27,41.8,4.3
2025-03-23,906.0,1064,25,53.8,6.0
2025-03-24,987.0,1146,23,40.4,5.9
2025-03-25,1130.0,1457,35,46.5,7.4
2025-03-26,1140.0,1400,48,42.5,6.7
2025-03-27,1182.0,1533,41,61.4,2.7
2025-03-28,1103.0,1432,41,39.6,5.7
2025-03-29,993.0,1278,25,40.4,6.0
2025-03-30,972.0,1241,23,49.7,3.1
2025-03-31,997.0,1206,38,40.3,5.1
2025-04-01,1108.0,1419,35,,3.1
2025-04-02,1209.0,1508,32,56.5,2.5
2025-04-03,1229.0,1507,53,42.3,3.8
2025-04-04,1120.0,1405,34,55.5,8.6
2025-04-05,941.0,1172,37,41.9,6.7
2025-04-06,977.0,1268,39,31.4,3.4
2025-04-07,1018.0,1242,24,45.1,3.3
2025-04-08,1138.0,1444,27,35.8,6.4
2025-04-09,1178.0,1452,31,46.2,5.8
2025-04-10,1256.0,1543,36,48.6,6.7
2025-04-11,1142.0,1360,23,53.5,4.4
2025-04-12,1011.0,1180,29,54.6,7.4
2025-04-13,1021.0,1227,21,57.0,7.9
2025-04-14,1045.0,1353,45,59.5,3.7
2025-04-15,1184.0,1466,51,28.3,9.0
2025-04-16,1209.0,1506,52,40.2,5.9
2025-04-17,1287.0,1595,40,36.2,3.4
2025-04-18,1205.0,1539,24,38.2,6.9
2025-04-19,1058.0,1329,29,38.2,6.8
2025-04-20,1038.0,1213,40,53.9,3.2
2025-04-21,1104.0,1317,37,55.2,4.5
2025-04-22,1225.0,1432,25,30.9,6.1
2025-04-23,1252.0,1554,25,35.5,4.9
2025-04-24,1310.0,1616,49,28.8,9.5
2025-04-25,1221.0,1511,27,33.0,4.1
2025-04-26,1060.0,1334,40,36.5,8.9
2025-04-27,1010.0,1270,35,28.5,8.2
2025-04-28,1118.0,1446,47,54.7,6.6
2025-04-29,1202.0,1520,40,37.5,6.5
2025-04-30,1289.0,1643,45,42.6,7.0
2025-05-01,1309.0,1575,31,48.7,6.3
2025-05-02,1208.0,1401,25,39.3,5.7
2025-05-03,1049.0,1325,30,58.4,3.1
2025-05-04,1039.0,1264,23,35.6,7.1
2025-05-05,1102.0,1364,37,32.8,4.0
2025-05-06,1201.0,1431,38,41.5,6.8
2025-05-07,1304.0,1665,35,38.2,7.9
2025-05-08,1316.0,1692,36,57.8,2.6
2025-05-09,1252.0,1474,48,58.6,3.7
2025-05-10,1076.0,1238,22,30.7,7.5
2025-05-11,1060.0,1333,30,60.0,5.3
2025-05-12,1127.0,1386,31,37.6,9.2
2025-05-13,1296.0,1565,52,47.1,5.2
2025-05-14,1288.0,1512,40,36.1,7.8
2025-05-15,1316.0,1541,52,51.0,4.5
2025-05-16,1266.0,1498,27,49.8,9.0
2025-05-17,1086.0,1311,22,28.7,8.3
2025-05-18,1106.0,1336,47,51.5,6.7
2025-05-19,1177.0,1371,32,33.3,3.5
2025-05-20,1255.0,1500,37,46.4,7.9
2025-05-21,1370.0,1649,35,34.0,5.3
2025-05-22,1369.0,1671,61,28.2,4.0
2025-05-23,1284.0,1544,26,35.3,8.4
2025-05-24,1144.0,1401,31,54.5,8.2
2025-05-25,1081.0,1267,32,50.8,2.8
2025-05-26,1210.0,1508,30,49.0,5.9
2025-05-27,1306.0,1620,26,50.0,3.8
2025-05-28,1366.0,1640,30,33.0,8.4
2025-05-29,1373.0,1726,37,44.7,6.1
2025-05-30,1326.0,1717,36,52.7,6.6
2025-05-31,2805.0,1501,30,37.7,8.0
2025-06-01,1161.0,1505,83,36.0,9.2
2025-06-02,1238.0,1510,53,46.2,3.0
2025-06-03,1316.0,1570,50,56.5,5.6
2025-06-04,1405.0,1640,38,53.7,3.9
2025-06-05,1415.0,1820,60,50.8,9.3
2025-06-06,1353.0,1641,41,30.0,3.7
2025-06-07,1180.0,1515,35,32.3,8.0
2025-06-08,1138.0,1323,42,38.9,6.3
2025-06-09,1241.0,1440,47,30.0,3.4
2025-06-10,1317.0,1537,42,46.6,9.0
2025-06-11,1367.0,1701,43,42.5,4.8
2025-06-12,1399.0,1650,44,46.3,6.6
2025-06-13,1347.0,1576,54,45.6,4.5
2025-06-14,1205.0,1460,51,30.8,4.5
2025-06-15,1160.0,1388,23,29.0,7.7
2025-06-16,1267.0,1521,54,47.4,6.3
2025-06-17,1407.0,1649,36,51.7,4.0
2025-06-18,1408.0,1691,51,45.1,5.2
2025-06-19,1459.0,1705,46,60.8,7.5
2025-06-20,1372.0,1713,34,51.2,5.4
2025-06-21,1232.0,1579,35,35.2,6.2
2025-06-22,1173.0,1366,31,57.6,8.2
2025-06-23,1317.0,1546,40,38.0,5.5
2025-06-24,1426.0,1827,59,40.5,8.1
2025-06-25,1449.0,1882,40,39.7,9.2
2025-06-26,1505.0,1841,61,50.9,4.7
2025-06-27,1446.0,1795,64,36.8,5.6
2025-06-28,1233.0,1496,29,55.7,6.5
2025-06-29,1249.0,1591,25,41.8,3.5
2025-06-30,1276.0,1546,29,47.3,4.8
2025-07-01,1421.0,1705,32,55.8,2.9
2025-07-02,1466.0,1713,45,42.2,5.9
2025-07-03,1503.0,1780,42,28.7,5.6
2025-07-04,1471.0,1748,61,57.5,3.0
2025-07-05,1278.0,1527,53,50.3,8.8
2025-07-06,1230.0,1559,33,44.8,6.4
2025-07-07,1366.0,1762,51,52.8,2.5
2025-07-08,1474.0,1910,56,43.8,8.6
2025-07-09,1484.0,1898,40,50.3,5.7
2025-07-10,1494.0,1863,49,31.2,5.7
2025-07-11,1485.0,1918,66,32.9,4.2
2025-07-12,1289.0,1623,30,29.9,6.5
2025-07-13,1293.0,1548,49,41.4,5.3
2025-07-14,1379.0,1588,34,49.4,7.2
2025-07-15,1491.0,1889,59,42.5,2.5
2025-07-16,1482.0,1735,59,33.2,8.3
2025-07-17,1567.0,2011,59,45.6,6.0
2025-07-18,1475.0,1782,38,60.8,6.3
2025-07-19,1293.0,1632,39,43.3,6.5
2025-07-20,1261.0,1599,30,61.2,6.3
2025-07-21,1375.0,1730,49,51.7,5.2
2025-07-22,1514.0,1886,39,59.2,8.7
2025-07-23,1569.0,1945,32,61.5,8.9
2025-07-24,1545.0,1942,32,57.5,3.5
2025-07-25,1525.0,1928,34,47.2,4.0
2025-07-26,1303.0,1626,55,28.0,3.3
2025-07-27,1308.0,1581,41,54.8,6.2
2025-07-28,1420.0,1783,30,57.8,4.0
2025-07-29,1510.0,1851,54,52.8,2.8
2025-07-30,1542.0,1789,41,37.2,2.9
2025-07-31,1577.0,2024,44,51.4,8.3
2025-08-01,1513.0,1883,34,45.5,4.0
2025-08-02,1346.0,1612,43,34.7,6.9
2025-08-03,1305.0,1681,42,38.8,4.5
2025-08-04,1396.0,1781,43,36.9,3.1
2025-08-05,1565.0,1808,66,54.9,7.1
2025-08-06,1576.0,1955,58,50.0,3.9
2025-08-07,1623.0,1972,36,45.5,5.2
2025-08-08,1599.0,1962,48,30.9,6.5
2025-08-09,1410.0,1703,40,53.0,6.1
2025-08-10,1380.0,1620,29,57.6,7.5
2025-08-11,1479.0,1774,65,35.1,3.8
2025-08-12,1542.0,1897,53,42.3,5.6
2025-08-13,1578.0,1902,45,36.1,4.2
2025-08-14,1642.0,2078,53,37.6,5.2
2025-08-15,1595.0,1856,68,51.8,4.8
2025-08-16,1369.0,1714,45,37.1,5.5
2025-08-17,1393.0,1728,35,55.7,7.9
2025-08-18,1433.0,1817,40,33.4,8.3
2025-08-19,1550.0,1957,47,47.0,7.0
2025-08-20,1609.0,1867,47,53.1,2.9
2025-08-21,1637.0,2097,47,38.2,3.2
2025-08-22,1584.0,2012,50,34.5,8.9
2025-08-23,1431.0,1766,45,58.1,8.4
2025-08-24,1423.0,1799,36,57.4,8.4
2025-08-25,1531.0,1942,48,59.3,9.2
2025-08-26,1567.0,2008,50,32.8,3.4
2025-08-27,1670.0,2083,71,34.7,8.0
2025-08-28,1639.0,1993,36,30.5,8.3
2025-08-29,1645.0,1960,40,51.0,5.9
2025-08-30,1482.0,1918,42,50.4,8.4
2025-08-31,1449.0,1763,45,53.8,8.3
2025-09-01,1540.0,1979,66,51.0,6.6
2025-09-02,1618.0,1952,61,42.8,7.9
2025-09-03,1666.0,2029,45,48.6,7.6
2025-09-04,1687.0,2156,41,54.5,2.6
2025-09-05,1659.0,1999,39,56.0,4.5
2025-09-06,1444.0,1806,53,40.4,8.0
2025-09-07,1466.0,1896,36,56.5,6.6
2025-09-08,1560.0,1851,55,28.5,2.6
2025-09-09,1658.0,2025,43,29.7,3.3
2025-09-10,1695.0,2112,38,58.9,4.8
2025-09-11,1739.0,2024,37,52.1,8.9
2025-09-12,1666.0,1923,34,41.6,6.4
2025-09-13,1513.0,1891,62,58.9,6.7
2025-09-14,1508.0,1941,37,38.8,6.1
2025-09-15,1579.0,1900,66,48.4,3.3
2025-09-16,1671.0,2039,37,36.6,4.2
2025-09-17,1750.0,2145,53,49.5,8.5
2025-09-18,1756.0,2082,41,57.8,3.1
2025-09-19,1734.0,2122,40,50.4,5.5
2025-09-20,1490.0,1829,41,46.3,4.3
2025-09-21,1532.0,1968,68,44.9,3.4
2025-09-22,1545.0,1964,57,53.0,7.1
2025-09-23,1649.0,1993,35,38.3,7.7
2025-09-24,1764.0,2113,61,47.0,4.9
2025-09-25,1741.0,2039,73,41.6,7.1
2025-09-26,1735.0,2224,64,34.7,4.1
2025-09-27,1572.0,2007,67,41.0,7.5
2025-09-28,1550.0,1829,31,58.8,2.9
2025-09-29,1570.0,1817,63,48.0,3.0
2025-09-30,1705.0,1989,34,60.0,8.5
2025-10-01,1766.0,2042,58,61.4,4.1
2025-10-02,1802.0,2147,51,57.9,6.7
2025-10-03,1714.0,2146,60,35.8,9.0
2025-10-04,1579.0,1965,48,31.0,7.9
2025-10-05,1537.0,1890,55,45.4,8.2
2025-10-06,1600.0,1872,57,45.7,4.9
2025-10-07,1771.0,2238,48,43.6,7.4
2025-10-08,1766.0,2152,35,39.8,7.5
2025-10-09,1775.0,2261,79,29.2,4.9
2025-10-10,1766.0,2087,69,36.3,8.5
2025-10-11,1580.0,2037,55,49.0,4.5
2025-10-12,1539.0,1898,68,53.4,3.5
2025-10-13,1645.0,1949,73,52.9,5.0
2025-10-14,1717.0,2162,51,44.5,5.9
2025-10-15,1837.0,2252,58,57.6,3.4
2025-10-16,1834.0,2332,46,59.5,5.5
2025-10-17,1786.0,2232,51,31.0,7.1
2025-10-18,1638.0,2075,39,59.4,3.7
2025-10-19,1563.0,1897,48,45.5,7.3
2025-10-20,1635.0,2051,40,49.9,3.1
2025-10-21,1769.0,2251,42,46.7,7.0
2025-10-22,1844.0,2318,81,28.0,4.5
2025-10-23,1860.0,2364,63,31.6,4.8
2025-10-24,1816.0,2219,43,39.0,6.7
2025-10-25,1630.0,1946,54,34.4,6.4
2025-10-26,1650.0,2029,46,59.4,8.9
2025-10-27,1732.0,2067,68,31.7,9.1
2025-10-28,1791.0,2189,61,47.4,9.2
2025-10-29,1824.0,2359,75,57.5,5.0
2025-10-30,1843.0,2266,40,31.9,9.3
2025-10-31,1831.0,2116,76,40.3,2.8
2025-11-01,1670.0,1966,44,51.9,3.8
2025-11-02,1671.0,2062,70,39.9,5.7
2025-11-03,1683.0,1994,34,32.8,3.9
2025-11-04,1792.0,2257,42,49.5,2.9
2025-11-05,1876.0,2392,39,37.4,6.5
2025-11-06,1936.0,2342,69,39.7,9.5
2025-11-07,1824.0,2330,55,35.2,3.3
2025-11-08,1680.0,2028,70,28.5,9.2
2025-11-09,1669.0,1924,39,36.9,3.7
2025-11-10,1732.0,2176,40,51.9,6.5
2025-11-11,1833.0,2237,72,49.6,9.5
2025-11-12,1913.0,2293,80,51.5,8.1
2025-11-13,1942.0,2322,84,60.7,5.1
2025-11-14,1867.0,2364,60,29.7,5.2
2025-11-15,1729.0,2192,50,38.3,9.1
2025-11-16,1658.0,1988,35,40.9,5.5
2025-11-17,1767.0,2174,71,40.0,8.6
2025-11-18,1843.0,2326,49,34.7,4.6
2025-11-19,1939.0,2296,84,40.0,6.3
2025-11-20,1937.0,2274,58,44.8,5.5
2025-11-21,1888.0,2256,52,33.2,8.5
2025-11-22,1744.0,2129,57,28.2,6.1
2025-11-23,1711.0,2030,67,50.1,7.9
2025-11-24,1795.0,2123,73,36.6,4.2
2025-11-25,1927.0,2340,67,39.5,6.2
2025-11-26,1931.0,2441,76,38.9,2.9
2025-11-27,2005.0,2315,48,37.2,5.7
2025-11-28,1937.0,2229,60,37.5,8.9
2025-11-29,1763.0,2228,60,51.7,5.6
2025-11-30,1758.0,2150,41,61.1,4.7
2025-12-01,1819.0,2343,66,61.0,2.5
2025-12-02,1916.0,2211,58,39.4,9.4
2025-12-03,1933.0,2234,45,51.7,2.5
2025-12-04,2027.0,2338,49,47.1,4.7
2025-12-05,1929.0,2474,45,43.8,4.4
2025-12-06,1779.0,2225,45,35.6,5.9
2025-12-07,1776.0,2244,43,55.1,7.6
2025-12-08,1799.0,2107,65,47.6,4.4
2025-12-09,1963.0,2375,48,43.7,4.3
2025-12-10,1991.0,2540,58,34.2,7.2
2025-12-11,1979.0,2291,57,35.6,3.8
2025-12-12,1981.0,2382,54,60.5,4.3
2025-12-13,1807.0,2342,72,56.0,6.9
2025-12-14,1777.0,2129,39,50.6,9.0
2025-12-15,1841.0,2215,71,35.5,5.7
2025-12-16,1919.0,2427,44,34.3,8.4
2025-12-17,2003.0,2363,62,41.1,9.5
2025-12-18,2004.0,2330,55,44.2,9.2
2025-12-19,2003.0,2532,77,53.9,4.3
2025-12-20,1777.0,2244,36,36.8,3.3
2025-12-21,1830.0,2284,54,28.5,6.9
2025-12-22,1840.0,2273,40,56.3,4.2
2025-12-23,2002.0,2372,70,39.4,3.0
2025-12-24,2051.0,2648,56,29.1,4.8
2025-12-25,2064.0,2556,48,55.9,8.9
2025-12-26,2025.0,2455,52,55.3,9.1
2025-12-27,1868.0,2208,73,56.1,6.2
2025-12-28,1819.0,2353,50,39.7,9.1
2025-12-29,1911.0,2384,40,40.6,8.2
2025-12-30,1993.0,2401,82,32.9,3.7
2025-12-31,2072.0,2416,54,44.0,7.9
