order_id,order_date,product,category,region,channel,units,unit_price,revenue,customer_rating,returned
ORD-1052,2025-02-27,Keyboard,Accessories,South,Retail,5,79.0,466.4,1.1,No
ORD-1053,2025-10-10,Mouse,Accessories,North,Distributor,10,39.0,390.17,2.5,No
ORD-1054,2025-01-21,Headset,Accessories,South,Online,58,129.0,7296.7,2.4,No
ORD-1055,2025-07-28,Camera,Electronics,South,Retail,40,549.0,24426.48,4.9,No
ORD-1056,2025-07-31,Laptop,Electronics,East,Online,2,999.0,1823.73,4.2,No
ORD-1057,2025-05-08,Phone,Electronics,North,Online,18,799.0,13026.05,4.5,No
ORD-1058,2025-04-24,Tablet,Electronics,West,Distributor,13,429.0,6334.39,2.2,No
ORD-1059,2025-04-27,Monitor,Electronics,South,Online,15,249.0,3205.69,2.3,No
ORD-1060,2025-05-23,Keyboard,Accessories,West,Retail,23,79.0,1952.4,2.3,Yes
ORD-1061,2025-05-14,Mouse,Accessories,East,Online,12,39.0,492.9,1.4,No
ORD-1062,2025-06-10,Headset,Accessories,Central,Online,28,129.0,3836.57,2.5,No
ORD-1063,2025-05-11,Camera,Electronics,North,Retail,3,549.0,1808.53,4.7,No
ORD-1064,2025-12-10,Laptop,Electronics,North,Distributor,13,999.0,12694.5,3.5,No
ORD-1065,2025-03-05,Phone,Electronics,Central,Distributor,47,799.0,43749.86,3.7,No
ORD-1066,2025-12-23,Tablet,Electronics,South,Online,19,429.0,8510.01,3.7,No
ORD-1067,2025-03-31,Monitor,Electronics,West,Retail,40,249.0,10449.9,4.3,No
ORD-1068,2025-04-18,Keyboard,Accessories,Central,Distributor,28,79.0,2488.53,2.9,No
ORD-1069,2025-04-20,Mouse,Accessories,South,Online,33,39.0,1307.1,2.1,No
ORD-1070,2025-11-14,Headset,Accessories,South,Distributor,22,129.0,2505.06,1.9,No
ORD-1071,2025-01-13,Camera,Electronics,West,Retail,3,549.0,1541.09,4.4,Yes
ORD-1072,2025-08-01,Laptop,Electronics,South,Online,57,999.0,60952.81,3.0,No
ORD-1073,2025-12-02,Phone,Electronics,North,Online,45,799.0,30631.53,1.9,No
ORD-1074,2025-12-23,Tablet,Electronics,Central,Retail,34,429.0,14769.67,4.7,No
ORD-1075,2025-03-10,Monitor,Electronics,Central,Retail,52,249.0,13111.47,3.4,No
ORD-1076,2025-08-15,Keyboard,Accessories,Central,Online,40,79.0,3587.4,4.3,No
ORD-1077,2025-03-23,Mouse,Accessories,West,Distributor,48,39.0,2155.65,4.0,No
ORD-1078,2025-05-22,Headset,Accessories,West,Retail,50,129.0,7238.1,2.1,Yes
ORD-1079,2025-05-27,Camera,Electronics,East,Retail,16,549.0,8301.76,1.3,No
ORD-1080,2025-07-16,Laptop,Electronics,South,Online,45,999.0,40616.03,2.7,No
ORD-1081,2025-08-27,Phone,Electronics,West,Online,27,799.0,18807.19,4.6,No
ORD-1082,2025-12-23,Tablet,Electronics,Central,Online,2,429.0,986.58,2.9,No
ORD-1083,2025-06-02,Monitor,Electronics,West,Retail,49,249.0,12036.23,4.0,No
ORD-1084,2025-11-05,Keyboard,Accessories,South,Distributor,58,79.0,4248.38,2.7,Yes
ORD-1085,2025-06-22,Mouse,Accessories,West,Retail,43,39.0,1824.07,4.4,No
ORD-1086,2025-11-15,Headset,Accessories,West,Retail,35,129.0,3880.36,3.3,Yes
ORD-1087,2025-11-26,Camera,Electronics,West,Retail,28,549.0,13796.29,1.2,No
ORD-1088,2025-04-19,Laptop,Electronics,West,Distributor,30,999.0,,4.0,No
ORD-1089,2025-05-10,Phone,Electronics,North,Retail,54,799.0,37910.97,1.2,No
ORD-1090,2025-04-25,Tablet,Electronics,North,Online,42,429.0,15748.03,4.8,No
ORD-1091,2025-01-11,Monitor,Electronics,South,Online,40,249.0,8997.2,3.7,No
ORD-1092,2025-04-22,Keyboard,Accessories,East,Retail,30,79.0,2594.71,3.4,No
ORD-1093,2025-02-28,Mouse,Accessories,East,Online,50,39.0,2216.67,3.3,No
ORD-1094,2025-10-22,Headset,Accessories,West,Online,44,129.0,6628.48,4.8,No
ORD-1095,2025-10-31,Camera,Electronics,South,Online,45,549.0,28181.0,3.8,No
ORD-1096,2025-12-17,Laptop,Electronics,Central,Online,39,999.0,44101.31,2.4,No
ORD-1097,2025-07-09,Phone,Electronics,East,Online,5,799.0,4103.21,4.4,No
ORD-1098,2025-02-24,Tablet,Electronics,West,Retail,28,429.0,14249.54,2.7,No
ORD-1099,2025-11-30,Monitor,Electronics,Central,Online,18,249.0,4775.88,,No
ORD-1100,2025-10-31,Keyboard,Accessories,South,Online,18,79.0,1369.11,2.1,No
ORD-1101,2025-08-26,Mouse,Accessories,West,Distributor,37,39.0,1534.8,1.1,No
ORD-1102,2025-04-04,Headset,Accessories,East,Distributor,32,129.0,3815.27,2.1,No
ORD-1103,2025-05-22,Camera,Electronics,South,Online,36,549.0,16869.62,2.0,No
ORD-1104,2025-10-12,Laptop,Electronics,West,Online,49,999.0,45725.78,2.8,Yes
ORD-1105,2025-05-31,Phone,Electronics,South,Distributor,15,799.0,11883.61,3.7,No
ORD-1106,2025-10-11,Tablet,Electronics,Central,Distributor,34,429.0,14153.02,2.4,No
ORD-1107,2025-06-06,Monitor,Electronics,South,Distributor,17,249.0,3939.6,1.5,No
ORD-1108,2025-12-20,Keyboard,Accessories,West,Distributor,12,79.0,869.35,3.9,No
ORD-1109,2025-09-26,Mouse,Accessories,North,Retail,39,39.0,1443.5,2.2,No
ORD-1110,2025-06-04,Headset,Accessories,South,Distributor,1,129.0,141.62,1.2,Yes
ORD-1111,2025-05-30,Camera,Electronics,West,Online,45,549.0,29162.56,4.5,No
ORD-1112,2025-08-29,Laptop,Electronics,South,Online,31,999.0,31097.96,2.0,No
ORD-1113,2025-02-28,Phone,Electronics,West,Online,53,799.0,36963.43,3.3,No
ORD-1114,2025-03-19,Tablet,Electronics,East,Online,10,429.0,4864.43,5.0,No
ORD-1115,2025-08-02,Monitor,Electronics,Central,Retail,39,249.0,10280.5,4.1,No
ORD-1116,2025-08-15,Keyboard,Accessories,West,Distributor,20,79.0,1818.67,3.3,Yes
ORD-1117,2025-02-20,Mouse,Accessories,South,Distributor,49,39.0,1763.33,3.6,No
ORD-1118,2025-03-30,Headset,Accessories,North,Online,36,129.0,4069.41,2.8,No
ORD-1119,2025-05-30,Camera,Electronics,East,Online,3,549.0,1533.38,1.3,No
ORD-1120,2025-05-16,Laptop,Electronics,Central,Retail,51,999.0,57416.3,2.7,No
ORD-1121,2025-11-28,Phone,Electronics,South,Online,10,799.0,9331.87,1.2,No
ORD-1122,2025-11-01,Tablet,Electronics,East,Online,48,429.0,23443.66,1.5,No
ORD-1123,2025-12-25,Monitor,Electronics,Central,Retail,26,249.0,7638.91,3.0,No
ORD-1124,2025-01-21,Keyboard,Accessories,East,Retail,57,79.0,4508.45,2.0,No
ORD-1125,2025-12-12,Mouse,Accessories,Central,Online,54,39.0,2424.39,5.0,No
ORD-1126,2025-05-18,Headset,Accessories,South,Online,37,129.0,4124.26,3.1,No
ORD-1127,2025-05-23,Camera,Electronics,West,Online,12,549.0,7898.56,4.9,No
ORD-1128,2025-07-29,Laptop,Electronics,North,Retail,22,999.0,21150.98,2.3,No
ORD-1129,2025-05-28,Phone,Electronics,Central,Online,43,799.0,40569.36,2.8,No
ORD-1130,2025-06-15,Tablet,Electronics,West,Retail,N/A,429.0,4082.59,4.3,Yes
ORD-1131,2025-10-05,Monitor,Electronics,South,Retail,-,249.0,7429.94,2.4,No
ORD-1132,2025-11-17,Keyboard,Accessories,South,Distributor,29,79.0,2556.75,3.2,No
ORD-1133,2025-08-13,Mouse,Accessories,North,Online,57,39.0,2432.82,4.9,No
ORD-1134,2025-05-03,Headset,Accessories,Central,Online,46,129.0,5372.84,3.2,No
ORD-1135,2025-02-28,Camera,Electronics,South,Online,30,549.0,19458.83,4.7,No
ORD-1136,2025-12-28,Laptop,Electronics,West,Online,18,999.0,17899.67,2.0,No
ORD-1137,2025-07-16,Phone,Electronics,Central,Retail,13,799.0,12180.36,4.5,No
ORD-1138,2025-08-01,Tablet,Electronics,Central,Distributor,22,429.0,11108.4,4.3,No
ORD-1139,2025-06-02,Monitor,Electronics,West,Retail,54,249.0,14191.29,2.8,No
ORD-1140,2025-06-20,Keyboard,Accessories,West,Online,36,79.0,3176.76,4.7,No
ORD-1141,2025-12-24,Mouse,Accessories,South,Online,16,39.0,655.28,1.2,No
ORD-1142,2025-12-28,Headset,Accessories,West,Retail,59,129.0,8630.82,3.0,Yes
ORD-1143,2025-09-15,Camera,Electronics,North,Online,38,549.0,20156.83,1.4,No
ORD-1144,2025-01-08,Laptop,Electronics,South,Online,47,999.0,42279.04,2.9,No
ORD-1145,2025-06-23,Phone,Electronics,North,Distributor,40,799.0,34914.59,4.4,No
ORD-1146,2025-07-14,Tablet,Electronics,West,Retail,21,429.0,9634.04,1.1,Yes
ORD-1147,2025-11-20,Monitor,Electronics,South,Online,44,249.0,12843.99,2.7,No
ORD-1148,2025-11-21,Keyboard,Accessories,West,Retail,46,79.0,4198.73,3.8,No
ORD-1149,2025-01-24,Mouse,Accessories,East,Distributor,21,39.0,924.36,2.5,No
ORD-1150,2025-09-29,Headset,Accessories,South,Retail,27,129.0,3650.44,1.7,No
ORD-1151,2025-07-15,Camera,Electronics,West,Retail,40,549.0,23916.57,1.6,No
ORD-1152,2025-05-11,Laptop,Electronics,North,Online,30,999.0,28152.75,4.6,No
ORD-1153,2025-03-22,Phone,Electronics,East,Retail,5,799.0,4013.4,2.2,No
ORD-1154,2025-12-20,Tablet,Electronics,East,Retail,17,429.0,7365.15,5.0,No
ORD-1155,2025-02-24,Monitor,Electronics,East,Retail,16,249.0,3918.17,2.2,No
ORD-1156,2025-01-12,Keyboard,Accessories,East,Online,54,79.0,4608.9,3.3,No
ORD-1157,2025-01-26,Mouse,Accessories,West,Distributor,59,39.0,2444.22,4.1,No
ORD-1158,2025-06-30,Headset,Accessories,Central,Distributor,15,129.0,2075.9,3.7,No
ORD-1159,2025-12-04,Camera,Electronics,North,Online,44,549.0,27620.4,2.2,No
ORD-1160,2025-10-24,Laptop,Electronics,North,Distributor,24,999.0,26525.27,2.3,No
ORD-1161,2025-04-13,Phone,Electronics,East,Retail,9,799.0,8091.88,3.0,No
ORD-1162,2025-03-26,Tablet,Electronics,West,Distributor,17,429.0,8532.21,4.0,No
ORD-1163,2025-02-28,Monitor,Electronics,South,Retail,30,249.0,8866.98,4.4,No
ORD-1164,2025-07-23,Keyboard,Accessories,East,Online,55,79.0,4916.83,4.2,Yes
ORD-1165,2025-10-02,Mouse,Accessories,East,Retail,8,39.0,314.86,2.5,No
ORD-1166,2025-07-10,Headset,Accessories,West,Online,7,129.0,980.83,3.5,No
ORD-1167,2025-06-17,Camera,Electronics,North,Online,59,549.0,34448.76,4.6,No
ORD-1168,2025-07-29,Laptop,Electronics,North,Distributor,8,999.0,7184.18,5.0,No
ORD-1169,2025-05-01,Phone,Electronics,West,Online,57,799.0,47280.07,2.5,No
ORD-1170,2025-12-23,Tablet,Electronics,South,Online,35,429.0,14965.37,3.6,No
ORD-1171,2025-11-12,Monitor,Electronics,East,Online,27,249.0,7924.19,3.8,No
ORD-1172,2025-08-16,Keyboard,Accessories,North,Distributor,16,79.0,1452.85,3.2,No
ORD-1173,2025-07-03,Mouse,Accessories,South,Online,4,39.0,154.34,4.8,No
ORD-1174,2025-02-16,Headset,Accessories,Central,Online,43,129.0,5126.74,1.2,No
ORD-1175,2025-03-06,Camera,Electronics,North,Retail,51,549.0,29331.82,1.8,No
ORD-1176,2025-04-30,Laptop,Electronics,Central,Online,22,999.0,24637.98,2.1,No
ORD-1177,2025-03-08,Phone,Electronics,South,Online,35,799.0,26223.59,3.6,Yes
ORD-1178,2025-01-08,Tablet,Electronics,South,Retail,23,429.0,11115.12,2.3,No
ORD-1179,2025-01-27,Monitor,Electronics,Central,Online,9,249.0,2486.62,4.0,No
ORD-1180,2025-07-05,Keyboard,Accessories,West,Retail,33,79.0,2757.64,1.9,No
ORD-1181,2025-12-04,Mouse,Accessories,North,Online,34,39.0,1267.09,5.0,No
ORD-1182,2025-08-07,Headset,Accessories,West,Online,44,129.0,5039.08,4.6,No
ORD-1183,2025-03-17,Camera,Electronics,Central,Retail,5,549.0,2454.49,3.2,No
ORD-1184,2025-11-02,Laptop,Electronics,Central,Retail,34,999.0,32376.87,2.7,No
ORD-1185,2025-02-28,Phone,Electronics,Central,Retail,55,799.0,47423.23,2.7,No
ORD-1186,2025-07-31,Tablet,Electronics,West,Online,22,429.0,10755.51,3.9,No
ORD-1187,2025-06-10,Monitor,Electronics,South,Online,43,249.0,10056.14,1.3,No
ORD-1188,2025-02-17,Keyboard,Accessories,East,Retail,28,79.0,1954.96,3.2,No
ORD-1189,2025-10-15,Mouse,Accessories,North,Online,36,39.0,1355.39,2.4,No
ORD-1190,2025-08-05,Headset,Accessories,North,Distributor,56,129.0,8456.02,3.4,No
ORD-1191,2025-10-23,Camera,Electronics,West,Retail,33,549.0,16748.42,4.4,No
ORD-1192,2025-10-12,Laptop,Electronics,East,Retail,24,999.0,21343.67,1.9,No
ORD-1193,2025-10-15,Phone,Electronics,Central,Retail,50,799.0,45401.15,1.1,No
ORD-1194,2025-12-22,Tablet,Electronics,East,Distributor,18,429.0,6641.95,4.7,No
ORD-1195,2025-04-03,Monitor,Electronics,West,Online,56,249.0,12551.52,1.6,No
ORD-1196,2025-01-16,Keyboard,Accessories,South,Online,6,79.0,526.68,2.7,No
ORD-1197,2025-07-09,Mouse,Accessories,Central,Retail,20,39.0,860.0,1.3,Yes
ORD-1198,2025-03-22,Headset,Accessories,North,Distributor,49,129.0,6739.72,2.8,No
ORD-1199,2025-11-07,Camera,Electronics,South,Retail,29,549.0,15840.83,1.5,No
ORD-1200,2025-05-26,Laptop,Electronics,West,Retail,44,999.0,,3.7,Yes
ORD-1201,2025-07-22,Phone,Electronics,South,Distributor,39,799.0,27084.32,4.8,No
ORD-1202,2025-05-11,Tablet,Electronics,North,Online,19,429.0,7864.43,4.0,No
ORD-1203,2025-07-14,Monitor,Electronics,Central,Retail,35,249.0,9554.12,4.3,No
ORD-1204,2025-02-06,Keyboard,Accessories,North,Online,26,79.0,2365.42,1.1,No
ORD-1205,2025-06-10,Mouse,Accessories,West,Online,37,39.0,1443.36,2.2,No
ORD-1206,2025-06-16,Headset,Accessories,Central,Online,11,129.0,1604.13,4.3,No
ORD-1207,2025-02-15,Camera,Electronics,South,Online,28,549.0,17609.69,3.4,No
ORD-1208,2025-07-22,Laptop,Electronics,East,Retail,56,999.0,53627.7,2.3,No
ORD-1209,2025-09-19,Phone,Electronics,Central,Retail,41,799.0,29152.54,4.6,No
ORD-1210,2025-11-27,Tablet,Electronics,North,Retail,53,429.0,20501.76,2.0,No
ORD-1211,2025-03-20,Monitor,Electronics,North,Retail,49,249.0,13612.7,4.8,No
ORD-1212,2025-08-26,Keyboard,Accessories,Central,Online,49,79.0,4054.13,3.7,No
ORD-1213,2025-11-26,Mouse,Accessories,East,Distributor,41,39.0,1911.26,1.6,Yes
ORD-1214,2025-08-15,Headset,Accessories,East,Retail,41,129.0,5056.22,1.2,No
ORD-1215,2025-06-08,Camera,Electronics,North,Distributor,30,549.0,16604.56,4.3,Yes
ORD-1216,2025-02-16,Laptop,Electronics,West,Online,40,999.0,42274.8,3.3,No
ORD-1217,2025-01-22,Phone,Electronics,Central,Retail,29,799.0,27067.61,2.3,No
ORD-1218,2025-03-19,Tablet,Electronics,East,Online,4,429.0,1729.18,3.0,No
ORD-1219,2025-05-07,Monitor,Electronics,West,Retail,46,249.0,11490.83,3.1,No
ORD-1220,2025-07-10,Keyboard,Accessories,West,Distributor,59,79.0,4423.35,3.7,Yes
ORD-1221,2025-11-20,Mouse,Accessories,East,Online,42,39.0,1584.15,3.2,No
ORD-1222,2025-05-10,Headset,Accessories,Central,Retail,47,129.0,6960.62,2.3,No
ORD-1223,2025-03-14,Camera,Electronics,West,Retail,59,549.0,31498.22,3.4,No
ORD-1224,2025-06-08,Laptop,Electronics,East,Retail,36,999.0,35310.81,3.7,No
ORD-1225,2025-12-17,Phone,Electronics,West,Retail,59,799.0,48755.0,2.4,No
ORD-1226,2025-04-03,Tablet,Electronics,West,Retail,14,429.0,5823.46,1.9,No
ORD-1227,2025-02-09,Monitor,Electronics,North,Retail,19,249.0,5419.6,4.1,No
ORD-1228,2025-09-27,Keyboard,Accessories,Central,Retail,3,79.0,256.36,3.4,No
ORD-1229,2025-04-03,Mouse,Accessories,Central,Retail,54,39.0,2300.8,3.9,Yes
ORD-1230,2025-07-06,Headset,Accessories,West,Retail,44,129.0,6254.13,2.1,No
ORD-1231,2025-08-18,Camera,Electronics,East,Online,15,549.0,8538.9,4.6,No
ORD-1232,2025-12-14,Laptop,Electronics,West,Distributor,37,999.0,44154.3,4.1,No
ORD-1233,2025-08-03,Phone,Electronics,Central,Retail,11,799.0,9983.53,4.5,Yes
ORD-1234,2025-09-04,Tablet,Electronics,North,Retail,56,429.0,23541.7,4.4,No
ORD-1235,2025-03-24,Monitor,Electronics,Central,Retail,18,249.0,4514.55,4.3,No
ORD-1236,2025-04-24,Keyboard,Accessories,East,Online,53,79.0,4220.06,2.7,No
ORD-1237,2025-07-11,Mouse,Accessories,North,Distributor,16,39.0,614.74,1.9,No
ORD-1238,2025-02-20,Headset,Accessories,East,Retail,54,129.0,7663.62,1.6,No
ORD-1239,2025-08-30,Camera,Electronics,West,Online,45,549.0,28185.65,3.5,No
ORD-1240,2025-01-10,Laptop,Electronics,South,Retail,17,999.0,15717.41,4.8,No
ORD-1241,2025-08-05,Phone,Electronics,South,Distributor,8,799.0,7169.65,1.5,No
ORD-1242,2025-11-24,Tablet,Electronics,North,Online,51,429.0,23366.42,4.3,No
ORD-1243,2025-10-02,Monitor,Electronics,Central,Retail,2,249.0,533.45,3.9,No
ORD-1244,2025-01-01,Keyboard,Accessories,Central,Online,40,79.0,3076.21,1.7,No
ORD-1245,2025-09-26,Mouse,Accessories,Central,Retail,24,39.0,817.77,3.0,No
ORD-1246,2025-10-11,Headset,Accessories,West,Online,2,129.0,254.56,3.5,No
ORD-1247,2025-05-10,Camera,Electronics,North,Distributor,48,549.0,22549.01,2.0,No
ORD-1248,2025-02-23,Laptop,Electronics,East,Retail,50,999.0,52630.62,1.2,No
ORD-1249,2025-11-26,Phone,Electronics,West,Online,12,799.0,10936.4,3.5,No
ORD-1250,2025-02-02,Tablet,Electronics,West,Online,46,429.0,22134.97,2.2,Yes
ORD-1251,2025-04-13,Monitor,Electronics,East,Retail,57,249.0,12272.22,2.6,No
ORD-1252,2025-08-31,Keyboard,Accessories,South,Distributor,17,79.0,1158.76,2.4,No
ORD-1253,2025-12-02,Mouse,Accessories,East,Online,22,39.0,811.35,4.6,No
ORD-1254,2025-07-17,Headset,Accessories,West,Online,22,129.0,3379.5,2.5,No
ORD-1255,2025-05-17,Camera,Electronics,West,Online,52,549.0,25091.24,2.7,No
ORD-1256,2025-04-03,Laptop,Electronics,North,Online,35,999.0,33315.29,2.3,No
ORD-1257,2025-08-17,Phone,Electronics,South,Online,39,799.0,34313.93,2.4,Yes
ORD-1258,2025-06-30,Tablet,Electronics,East,Online,40,429.0,20580.89,1.3,No
ORD-1259,2025-07-06,Monitor,Electronics,South,Online,33,249.0,9288.36,1.6,No
ORD-1260,2025-08-13,Keyboard,Accessories,South,Distributor,3,79.0,211.92,2.4,No
ORD-1261,2025-01-17,Mouse,Accessories,West,Distributor,39,39.0,1374.53,2.5,No
ORD-1262,2025-10-21,Headset,Accessories,West,Distributor,9,129.0,1202.0,3.6,No
ORD-1263,2025-02-28,Camera,Electronics,West,Retail,2,549.0,1216.02,2.5,No
ORD-1264,2025-05-15,Laptop,Electronics,West,Retail,50,999.0,47008.02,5.0,No
ORD-1265,2025-09-09,Phone,Electronics,North,Online,13,799.0,9274.79,1.7,No
ORD-1266,2025-02-14,Tablet,Electronics,East,Distributor,52,429.0,24286.17,3.8,No
ORD-1267,2025-05-29,Monitor,Electronics,South,Retail,58,249.0,13791.89,4.2,No
ORD-1268,2025-03-04,Keyboard,Accessories,South,Online,13,79.0,1157.66,1.1,No
ORD-1269,2025-07-08,Mouse,Accessories,Central,Retail,30,39.0,1323.6,3.4,No
ORD-1270,2025-06-08,Headset,Accessories,West,Retail,26,129.0,4024.32,2.6,No
ORD-1271,2025-10-22,Camera,Electronics,East,Online,5,549.0,2453.66,2.8,No
ORD-1272,2025-06-26,Laptop,Electronics,Central,Retail,9,999.0,10405.16,1.7,No
ORD-1273,2025-08-10,Phone,Electronics,North,Online,33,799.0,30816.41,3.1,No
ORD-1274,2025-03-24,Tablet,Electronics,South,Distributor,21,429.0,10605.02,4.8,No
ORD-1275,2025-05-26,Monitor,Electronics,South,Retail,55,249.0,12018.75,2.1,No
ORD-1276,2025-11-11,Keyboard,Accessories,South,Retail,35,79.0,2440.67,4.8,No
ORD-1277,2025-12-04,Mouse,Accessories,Central,Distributor,40,39.0,1719.47,4.4,No
ORD-1278,2025-01-15,Headset,Accessories,Central,Distributor,6,129.0,670.22,3.6,No
ORD-1279,2025-08-02,Camera,Electronics,West,Retail,40,549.0,23577.29,2.2,No
ORD-1280,2025-09-05,Laptop,Electronics,West,Distributor,16,999.0,18088.15,2.8,No
ORD-1281,2025-03-22,Phone,Electronics,West,Retail,29,799.0,23065.98,2.4,No
ORD-1282,2025-06-13,Tablet,Electronics,East,Online,47,429.0,24111.08,1.5,No
ORD-1283,2025-10-15,Monitor,Electronics,West,Online,7,249.0,1676.23,2.1,No
ORD-1284,2025-02-19,Keyboard,Accessories,West,Retail,4,79.0,300.7,2.7,No
ORD-1285,2025-03-23,Mouse,Accessories,Central,Distributor,53,39.0,1993.83,1.8,No
ORD-1286,2025-09-21,Headset,Accessories,East,Online,30,129.0,3965.07,1.1,No
ORD-1287,2025-09-16,Camera,Electronics,South,Retail,30,549.0,19571.97,2.4,Yes
ORD-1288,2025-09-11,Laptop,Electronics,West,Distributor,39,999.0,45148.74,3.1,No
ORD-1289,2025-08-09,Phone,Electronics,East,Online,9,799.0,8333.36,2.5,No
ORD-1290,2025-10-19,Tablet,Electronics,Central,Distributor,36,429.0,14179.59,1.3,No
ORD-1291,2025-10-09,Monitor,Electronics,Central,Retail,18,249.0,5104.37,1.5,No
ORD-1292,2025-07-21,Keyboard,Accessories,East,Retail,24,79.0,2139.09,4.8,No
ORD-1293,2025-04-12,Mouse,Accessories,Central,Online,39,39.0,1563.88,1.2,No
ORD-1294,2025-06-20,Headset,Accessories,West,Retail,52,129.0,6814.06,3.4,No
ORD-1295,2025-06-17,Camera,Electronics,South,Online,60,549.0,35067.06,5.0,No
ORD-1296,2025-06-03,Laptop,Electronics,Central,Retail,38,999.0,36736.99,3.0,No
