customer_id,tenure_months,monthly_charges,total_charges,plan,contract,payment_method,senior_citizen,support_calls,avg_call_minutes,churn
C-10176,115,109.24,12004.66,Standard,One year,Bank transfer,0,8,163.4,Yes
C-10177,1,74.46,70.75,Basic,Two year,Mailed check,1,0,250.4,Yes
C-10178,77,55.33,4339.98,Premium,Month-to-month,Electronic check,1,7,202.4,No
C-10179,8,30.17,237.99,Premium,One year,Electronic check,0,0,567.8,Yes
C-10180,19,73.05,1413.93,Standard,Two year,Bank transfer,0,5,795.3,No
C-10181,44,86.17,3928.62,Premium,Two year,Mailed check,0,2,329.0,No
C-10182,87,92.13,8197.02,Premium Plus,Month-to-month,Mailed check,0,1,331.4,Yes
C-10183,15,96.75,1519.87,Premium,One year,Bank transfer,0,2,733.8,No
C-10184,31,61.87,1979.61,Premium Plus,Two year,Credit card,0,1,548.0,No
C-10185,89,77.79,6717.88,Standard,Two year,Electronic check,0,5,529.0,No
C-10186,14,25.96,375.03,Premium,One year,Bank transfer,1,7,181.1,No
C-10187,80,41.07,3349.93,Standard,Month-to-month,Mailed check,0,6,675.8,Yes
C-10188,84,25.41,2154.49,Basic,Two year,Mailed check,0,0,183.4,No
C-10189,14,44.5,639.54,Basic,Two year,Credit card,1,2,688.4,No
C-10190,44,61.15,2633.23,Premium,One year,Mailed check,0,0,800.2,No
C-10191,5,95.11,496.87,Standard,Month-to-month,Credit card,0,8,657.6,Yes
C-10192,46,70.19,3096.99,Standard,One year,Credit card,1,2,684.2,No
C-10193,92,25.6,2379.95,Premium Plus,Month-to-month,Electronic check,1,7,461.0,No
C-10194,85,36.48,2978.13,Premium,Two year,Bank transfer,0,5,83.6,No
C-10195,39,74.16,2837.03,Basic,Month-to-month,Mailed check,0,0,261.9,No
C-10196,11,76.48,825.18,Premium Plus,Month-to-month,Bank transfer,0,4,865.3,Yes
C-10197,30,95.18,2828.93,Premium,Month-to-month,Electronic check,0,8,738.3,Yes
C-10198,13,78.72,1001.88,Premium Plus,One year,Mailed check,0,7,126.2,No
C-10199,12,43.16,500.36,Standard,Two year,Bank transfer,0,7,719.7,No
C-10200,58,56.03,3213.22,Premium Plus,Month-to-month,Mailed check,1,1,864.7,No
C-10201,100,100.47,10329.77,Standard,One year,Electronic check,0,7,139.1,No
C-10202,54,113.41,5872.58,Standard,Month-to-month,Mailed check,0,7,276.7,Yes
C-10203,105,96.31,10589.54,Premium Plus,Two year,Credit card,1,0,365.3,No
C-10204,43,60.9,2737.08,Standard,One year,Bank transfer,0,1,633.0,No
C-10205,105,107.74,11641.44,Basic,Two year,Electronic check,1,2,776.6,Yes
C-10206,43,35.82,1566.31,Premium Plus,Month-to-month,Bank transfer,0,7,453.5,No
C-10207,100,28.58,2809.05,Basic,One year,Bank transfer,0,5,897.0,No
C-10208,103,90.23,8973.75,Premium Plus,Month-to-month,Credit card,0,2,597.8,Yes
C-10209,67,23.13,1538.88,Premium Plus,Month-to-month,Credit card,1,3,105.4,No
C-10210,6,62.29,365.29,Premium,Two year,Electronic check,0,4,794.0,Yes
C-10211,110,72.48,8293.02,Premium,Month-to-month,Bank transfer,1,4,198.2,Yes
C-10212,62,68.16,4255.64,Standard,Two year,Electronic check,0,8,717.8,No
C-10213,26,92.27,2455.24,Standard,One year,Bank transfer,0,0,186.4,No
C-10214,101,69.94,6896.39,Premium,Month-to-month,Electronic check,0,7,852.4,No
C-10215,23,64.93,1481.47,Basic,Month-to-month,Mailed check,0,6,241.6,No
C-10216,28,117.17,3410.89,Basic,One year,Electronic check,1,7,605.1,Yes
C-10217,110,61.04,6604.17,Premium,Two year,Mailed check,0,7,419.8,No
C-10218,21,79.49,1699.38,Premium Plus,One year,Bank transfer,0,1,896.1,No
C-10219,7,84.96,620.13,Premium Plus,Month-to-month,Electronic check,0,7,482.8,No
C-10220,6,48.99,290.44,Premium Plus,Month-to-month,Mailed check,0,7,858.5,Yes
C-10221,63,61.29,3864.19,Premium Plus,Month-to-month,Bank transfer,1,4,318.2,No
C-10222,94,44.16,4098.91,Premium Plus,Month-to-month,Bank transfer,0,5,203.1,Yes
C-10223,80,75.57,5774.5,Premium Plus,Month-to-month,Credit card,0,2,849.1,Yes
C-10224,96,37.37,3662.87,Premium,Two year,Mailed check,0,8,159.4,No
C-10225,93,111.67,10320.32,Standard,One year,Mailed check,0,0,579.2,Yes
C-10226,11,58.24,620.56,Standard,One year,Mailed check,0,4,222.8,No
C-10227,36,98.0,3681.46,Premium Plus,One year,Electronic check,0,1,153.2,Yes
C-10228,7,34.18,235.94,Premium,Month-to-month,Mailed check,0,6,144.6,Yes
C-10229,4,27.36,107.4,Basic,Month-to-month,Credit card,0,2,211.0,Yes
C-10230,2,85.97,171.66,Basic,Month-to-month,Electronic check,1,2,498.3,No
C-10231,38,39.28,1440.75,Basic,Two year,Bank transfer,0,1,814.8,No
C-10232,3,33.86,99.28,Basic,Two year,Mailed check,0,1,352.8,Yes
C-10233,44,94.52,4031.22,Premium Plus,One year,Mailed check,0,3,637.1,No
C-10234,43,30.29,1300.89,Premium,Month-to-month,Credit card,0,6,560.9,No
C-10235,42,82.29,3593.7,Premium Plus,One year,Electronic check,0,7,200.5,No
C-10236,5,45.31,236.75,Premium Plus,One year,Bank transfer,0,6,85.1,No
C-10237,18,62.94,1118.38,Standard,One year,Mailed check,0,5,162.7,Yes
C-10238,71,21.09,1557.1,Premium,Month-to-month,Electronic check,0,6,298.2,No
C-10239,33,41.75,1427.34,Premium,Two year,Electronic check,0,6,633.0,No
C-10240,83,101.34,8030.02,Standard,Month-to-month,Bank transfer,0,6,160.2,No
C-10241,102,80.14,8291.72,Premium Plus,Month-to-month,Electronic check,0,7,298.9,Yes
C-10242,74,109.58,7780.61,Basic,One year,Credit card,0,4,290.7,Yes
C-10243,61,27.98,1740.31,Premium,One year,Credit card,0,7,772.9,No
C-10244,9,113.77,986.94,Basic,Month-to-month,Bank transfer,0,6,250.1,No
C-10245,8,92.41,766.49,Premium,Two year,Bank transfer,1,0,153.1,No
C-10246,38,46.37,1776.76,Premium Plus,One year,Electronic check,0,2,328.2,No
C-10247,22,108.78,2399.76,Premium Plus,Two year,Credit card,0,7,880.1,Yes
C-10248,72,68.27,4843.19,Basic,One year,Mailed check,0,3,643.8,No
C-10249,10,26.03,252.18,Basic,Two year,Electronic check,0,5,235.3,No
C-10250,58,90.85,5488.87,Standard,Two year,Credit card,0,7,789.0,Yes
C-10251,31,38.8,1247.28,Premium,One year,Electronic check,0,2,447.2,No
C-10252,12,31.02,378.27,Basic,One year,Credit card,0,5,283.1,Yes
C-10253,9,63.15,542.95,Standard,One year,Bank transfer,0,5,142.2,No
C-10254,96,112.8,10586.15,Standard,One year,Credit card,0,8,424.2,Yes
C-10255,6,44.89,271.37,Basic,Month-to-month,Mailed check,0,1,507.0,No
C-10256,40,108.26,4470.73,Premium Plus,One year,Bank transfer,0,7,232.8,Yes
C-10257,30,83.69,2613.08,Premium,Two year,Credit card,0,4,776.2,Yes
C-10258,27,51.51,1340.96,Basic,Month-to-month,Electronic check,0,7,419.5,No
C-10259,2,117.44,237.09,Basic,Month-to-month,Credit card,0,0,470.2,No
C-10260,32,30.94,963.18,Basic,Two year,Mailed check,0,2,711.2,No
C-10261,9,100.39,907.64,Premium,One year,Credit card,0,4,366.0,Yes
C-10262,3,50.11,156.38,Premium,Two year,Credit card,0,1,286.7,No
C-10263,2,117.86,224.66,Standard,Two year,Credit card,1,5,233.3,Yes
C-10264,8,112.06,907.86,Premium Plus,Two year,Credit card,0,8,207.0,Yes
C-10265,59,59.1,3493.9,Premium Plus,One year,Bank transfer,0,1,424.1,Yes
C-10266,115,116.82,14008.26,Premium,One year,Mailed check,0,7,632.0,Yes
C-10267,46,75.81,3415.68,Standard,One year,Credit card,0,0,242.6,Yes
C-10268,7,68.84,460.19,Basic,One year,Mailed check,0,5,798.1,No
C-10269,14,91.32,1224.88,Standard,Two year,Mailed check,0,0,457.5,No
C-10270,56,101.17,5888.19,Premium Plus,One year,Bank transfer,0,4,205.6,No
C-10271,94,107.59,10028.82,Standard,Two year,Mailed check,0,4,316.2,Yes
C-10272,46,112.71,5357.75,Premium Plus,Two year,Electronic check,0,2,502.3,No
C-10273,65,113.49,7717.25,Premium,One year,Credit card,0,0,826.5,No
C-10274,4,28.84,116.29,Standard,Two year,Bank transfer,1,2,581.5,No
C-10275,37,95.53,3643.29,Premium Plus,Month-to-month,Credit card,0,0,131.1,Yes
C-10276,47,30.7,1495.47,Basic,One year,Electronic check,0,8,681.1,No
C-10277,6,40.51,236.34,Standard,Two year,Mailed check,0,4,587.7,No
C-10278,4,82.37,342.0,Standard,Month-to-month,Electronic check,0,3,231.6,Yes
C-10279,97,103.27,9921.58,Premium Plus,One year,Mailed check,0,3,767.0,Yes
C-10280,46,88.13,3908.72,Basic,One year,Mailed check,0,2,489.7,Yes
C-10281,32,68.05,2148.71,Premium,Two year,Bank transfer,0,6,384.1,No
C-10282,10,61.69,620.86,Premium Plus,Month-to-month,Electronic check,0,4,88.6,Yes
C-10283,98,110.81,10617.11,Premium,Month-to-month,Mailed check,0,5,480.5,No
C-10284,30,110.26,3258.8,Premium Plus,Two year,Bank transfer,0,7,660.8,No
C-10285,17,98.5,1671.78,Premium,One year,Credit card,0,2,543.9,No
C-10286,39,89.78,3342.08,Premium,Two year,Mailed check,0,3,141.1,No
C-10287,10,113.42,1169.2,Premium Plus,One year,Mailed check,0,1,815.8,No
C-10288,24,109.25,2500.71,Premium Plus,Month-to-month,Electronic check,0,7,701.2,Yes
C-10289,2,52.12,104.83,Premium Plus,One year,Mailed check,0,4,472.5,No
C-10290,40,40.12,1555.42,Standard,One year,Electronic check,1,1,231.0,No
C-10291,13,55.96,704.59,Premium Plus,Two year,Credit card,0,3,759.2,Yes
C-10292,113,55.21,6472.04,Standard,Month-to-month,Electronic check,0,2,717.2,No
C-10293,38,31.79,1174.68,Standard,Month-to-month,Bank transfer,0,4,388.0,Yes
C-10294,51,107.24,5662.41,Standard,One year,Bank transfer,0,6,579.7,No
C-10295,11,67.1,720.45,Premium,Two year,Bank transfer,0,0,177.0,Yes
C-10296,70,111.23,7835.82,Basic,Month-to-month,Electronic check,0,5,884.1,No
C-10297,92,93.93,8834.55,Basic,Two year,Electronic check,0,0,477.1,Yes
C-10298,35,55.03,1873.61,Premium Plus,One year,Electronic check,0,0,709.8,No
C-10299,33,80.81,2661.98,Premium Plus,Two year,Credit card,0,6,644.2,Yes
C-10300,95,62.68,6241.93,Standard,Month-to-month,Bank transfer,0,5,222.7,No
C-10301,74,43.82,3324.58,Basic,Two year,Electronic check,0,0,793.5,No
C-10302,25,27.66,681.1,Standard,One year,Mailed check,0,4,169.0,Yes
C-10303,88,85.76,7543.05,Basic,Month-to-month,Bank transfer,0,3,432.6,No
C-10304,42,98.02,4042.27,Premium,Two year,Electronic check,0,0,351.2,No
C-10305,95,115.06,11303.9,Premium Plus,One year,Mailed check,0,4,683.2,No
C-10306,26,57.24,1510.55,Standard,Month-to-month,Credit card,1,1,77.9,No
C-10307,3,47.8,140.23,Premium Plus,One year,Credit card,1,7,75.8,Yes
C-10308,85,64.4,5491.79,Standard,Month-to-month,Bank transfer,0,0,514.9,No
C-10309,49,111.01,5579.42,Premium,One year,Bank transfer,1,6,787.2,No
C-10310,1,75.33,75.84,Premium,Two year,Bank transfer,0,2,866.7,No
C-10311,120,119.26,14572.52,Standard,Month-to-month,Bank transfer,1,1,899.0,Yes
C-10312,42,77.11,3157.82,Basic,Two year,Electronic check,0,1,317.8,No
C-10313,57,104.76,5694.85,Premium Plus,One year,Bank transfer,0,7,595.7,Yes
C-10314,31,25.86,838.0,Basic,One year,Credit card,1,2,276.7,No
C-10315,41,106.91,4435.01,Standard,Month-to-month,Electronic check,0,3,156.1,Yes
C-10316,2,88.44,172.07,Premium Plus,Two year,Bank transfer,0,4,73.5,No
C-10317,66,91.83,5826.34,Standard,One year,Electronic check,0,3,231.4,No
C-10318,70,61.6,4436.26,Premium Plus,One year,Bank transfer,0,6,813.8,No
C-10319,64,114.25,7159.09,Premium,Two year,Mailed check,0,0,149.2,No
C-10320,30,71.08,2165.89,Premium,Month-to-month,Mailed check,0,6,700.6,No
C-10321,7,115.86,814.93,Standard,Two year,Credit card,0,8,675.8,No
C-10322,5,67.23,329.19,Premium Plus,One year,Mailed check,0,5,264.2,No
C-10323,56,65.58,3812.12,Basic,Two year,Bank transfer,0,1,355.7,No
C-10324,9,85.33,793.15,Standard,One year,Mailed check,0,8,265.8,Yes
C-10325,94,78.48,7239.79,Standard,Two year,Electronic check,0,6,413.7,No
C-10326,22,69.42,1469.33,Standard,Month-to-month,Bank transfer,1,8,657.6,Yes
C-10327,120,30.1,3457.77,Basic,One year,Credit card,0,6,357.7,Yes
C-10328,95,75.69,7073.09,Premium,Month-to-month,Electronic check,0,0,122.0,No
C-10329,63,111.07,6981.39,Premium Plus,Two year,Mailed check,1,2,667.9,Yes
C-10330,8,109.56,871.1,Premium,Two year,Bank transfer,0,1,255.1,Yes
